path_index,HE_T
150,0.007707
151,0.487909
152,-1.006463
153,0.091262
154,0.319807
155,0.343729
156,0.360113
157,0.068715
158,0.359194
159,1.192678
160,-0.354422
161,-0.222337
162,0.628815
163,-0.147422
164,-0.010210
165,-0.042059
166,0.053475
167,-0.458062
168,0.142271
169,0.013087
170,-0.866047
171,0.456839
172,0.157218
173,-0.840239
174,-0.543123
175,0.327222
176,0.323289
177,-0.999028
178,0.129675
179,-0.157559
180,0.089336
181,-0.717876
182,0.157822
183,0.440202
184,-0.245571
185,0.171381
186,0.193321
187,0.263891
188,-0.098195
189,0.975708
190,-0.068376
191,0.054516
192,0.217567
193,0.472913
194,-0.849567
195,-0.923285
196,0.179295
197,0.028340
198,-0.259900
199,-0.311174
200,-0.461075
201,-0.526106
202,-0.431569
203,-0.284113
204,-0.184807
205,0.066087
206,0.474020
207,0.365221
208,-0.235336
209,-0.335828
210,0.523422
211,-0.223806
212,1.620703
213,0.754864
214,0.516575
215,-0.575559
216,-1.032029
217,0.516167
218,0.250585
219,0.103516
220,0.323005
221,-0.591003
222,0.298968
223,-0.306014
224,0.560926
225,0.827548
226,0.032720
227,0.074663
228,-0.351942
229,0.453835
230,-0.196086
231,-0.262183
232,0.555468
233,-0.182230
234,-0.417462
235,-0.188133
236,1.266521
237,0.079021
238,-0.163127
239,0.253029
240,0.033662
241,-0.388073
242,1.615119
243,-0.370084
244,-0.874616
245,0.107713
246,-0.886825
247,0.109769
248,-0.029068
249,0.680778
250,-0.303157
251,0.570934
252,0.167294
253,0.468646
254,0.496637
255,0.316075
256,0.079831
257,0.385242
258,0.047514
259,0.914564
260,-0.133785
261,0.282586
262,0.053362
263,-0.018052
264,-0.180146
265,0.834470
266,0.336717
267,0.385013
268,0.282173
269,0.030231
270,-1.072448
271,0.353847
272,0.184634
273,0.975388
274,-0.421026
275,0.256115
276,0.176830
277,1.629863
278,0.238481
279,-0.240399
280,-0.008899
281,-0.844325
282,-0.360477
283,-0.432906
284,0.247183
285,-0.448517
286,-0.335418
287,-0.093460
288,0.721582
289,-0.102023
290,-0.120755
291,0.028526
292,-0.101255
293,0.404452
294,-0.397333
295,0.071808
296,0.769833
297,-0.122740
298,-1.163647
299,0.662101
300,-0.258201
301,0.213317
302,0.036101
303,-0.080346
304,-0.357762
305,-0.649299
306,-0.151278
307,0.007808
308,-1.271011
309,0.269663
310,0.310510
311,0.351178
312,0.464366
313,-0.584018
314,0.588101
315,-0.914150
316,0.370596
317,0.515073
318,-1.802719
319,-0.275408
320,-0.493511
321,0.019161
322,0.716791
323,-0.180680
324,-0.033201
325,-0.443954
326,0.035094
327,-0.306627
328,-0.055635
329,-0.532485
330,0.528920
331,-0.028502
332,0.208088
333,-0.754920
334,-0.537508
335,0.884498
336,-0.112880
337,-0.141011
338,-0.028461
339,0.906978
340,-0.306391
341,0.221346
342,0.106834
343,-0.668469
344,-0.818440
345,1.492967
346,0.032719
347,-1.496388
348,-0.256670
349,0.013976
350,0.734963
351,0.299364
352,0.054219
353,0.116433
354,0.873780
355,0.560937
356,-0.226729
357,0.239763
358,-0.349221
359,-0.642934
360,-0.016769
361,0.151999
362,-0.232811
363,0.088344
364,-0.242559
365,0.901632
366,0.008416
367,-0.134830
368,-0.812500
369,-0.792209
370,1.138774
371,-0.634008
372,-0.423631
373,0.340931
374,0.162992
375,0.115894
376,0.868070
377,0.047656
378,-0.258966
379,0.338100
380,0.002977
381,0.020855
382,-0.134013
383,0.055273
384,-0.075141
385,0.000430
386,-0.508339
387,-0.126909
388,-0.543167
389,0.069111
390,-0.403262
391,-0.028296
392,-0.550722
393,-0.366776
394,0.321395
395,-0.496832
396,-0.093801
397,0.780346
398,0.077088
399,-0.070494
400,-1.089508
401,0.109570
402,-0.109032
403,-0.239694
404,0.512819
405,0.001908
406,-0.294815
407,-0.477635
408,1.572860
409,-1.299562
410,0.129148
411,-0.140235
412,0.502862
413,0.252429
414,0.546187
415,-0.408438
416,0.384767
417,-0.395924
418,0.732959
419,-0.155200
420,-0.252127
421,0.250914
422,-0.144479
423,-0.165674
424,-0.501556
425,-0.567961
426,0.369884
427,-0.347215
428,-0.000117
429,-1.085695
430,-0.003618
431,0.150636
432,-1.390956
433,0.067464
434,-0.948669
435,-0.209175
436,0.023834
437,-0.412236
438,-0.241265
439,0.114265
440,-0.127026
441,-0.399857
442,-0.060154
443,0.776705
444,0.963167
445,0.732121
446,0.094651
447,-0.354438
448,0.531642
449,-0.032458
450,0.155497
451,-0.064680
452,0.157320
453,-0.534192
454,1.505757
